publish_date,source,headline,url,location,tone,framing,group_mentions,metaphors,euphemisms,absences,grief_handling,blame_or_agency,commodification_of_death
"Mar 16, 2020",The New York Times,Coronavirus Is Hiding in Plain Sight,https://www.nytimes.com/2020/03/16/health/coronavirus-statistics-undetected.html,The United States; United States; Plain; Oregon; Indiana; China,neutral,inevitable,general population; American policymakers,hiding in plain sight,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests the spread of COVID-19 is due to undetected cases and lack of testing, implying systemic issues but not assigning direct blame.",The article treats the spread of the virus and potential deaths as statistics and a matter of public health policy.
"Mar 25, 2020",The New York Times,Texas Tries to Balance Local Control With the Threat of a ...,https://www.nytimes.com/2020/03/24/us/coronavirus-texas-patrick-abbott.html,Houston; Austin; Indiana; Texas; Washington,indifferent,political failure,older Americans,sacrifice; life-or-death test,sacrifice themselves to the virus,racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; healthcare access,absent,"The article suggests a lack of agency by highlighting the resistance of state leaders to issue protective measures, indirectly assigning responsibility to political leaders.","The article treats death as a political talking point, particularly in the context of economic considerations and political decisions."
"Mar 9, 2020",The New York Times,The Coronavirus: What Travelers Need to Know,https://www.nytimes.com/2020/01/26/travel/Coronavirus-travel.html,Hubei; The United States; Hubei Province; Wuhan; Oregon; Indiana; China,neutral,inevitable,travelers; Americans; Chinese,epicenter,outbreak of the deadly coronavirus,poverty; racism; healthcare access; elder neglect; long COVID; workplace safety,absent,"The article does not assign responsibility for COVID deaths, suggesting the deaths were unavoidable.",The article implicitly treats death as a statistic and part of the developing news coverage.
"Mar 23, 2020",The New York Times,Trump Says Coronavirus Cure Cannot 'Be Worse Than ...,https://www.nytimes.com/2020/03/23/us/politics/trump-coronavirus-restrictions.html,The United States; Indiana,indifferent,political failure,workers; infectious disease experts,cure; problem,,elderly; racial minorities; healthcare access; long COVID; workplace safety,absent,"The article suggests a tension between economic concerns and public health measures, implying a political decision-making process without assigning direct blame.","The article treats death as a political talking point, focusing on economic impacts rather than human loss."
"Mar 25, 2020",The New York Times,Death of Store Clerk in Italy Highlights Contagion's New ...,https://www.nytimes.com/2020/03/25/world/europe/coronavirus-italy-supermarkets.html,Italy; Oregon; Indiana; Leno,tragic,preventable,health care workers; supermarket clerks; doctors; nurses; police; army; civil protection; store clerks,fight; trenches; front line,,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,communal,The article suggests the deaths were preventable and implies a lack of adequate protective measures for essential workers.,The article implicitly treats death as a consequence of prioritizing essential goods over worker safety.
"Mar 26, 2020",The New York Times,Brazil and Mexico Are Latin America's Coronavirus Holdouts,https://www.nytimes.com/2020/03/25/world/americas/coronavirus-brasil-mexico.html,Mexico; Louisiana; Brazil; Latin America'S; Delaware; Milan; New Delhi; United States; Indiana; The United States; O.E.C.D.; Mexico City; South Korea; New York; El Salvador; Italy; Madrid; Mexico City’S,indifferent,political failure,flight attendants; government officials,petri dish,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article assigns responsibility to Mexico's president, Andrés Manuel López Obrador, for not taking adequate measures to prevent the spread of COVID-19.","The article treats death as a political talking point, focusing on the numbers and political actions rather than personal stories or impacts."
"Mar 26, 2020",The New York Times,What Does Coronavirus Do to the Body?,https://www.nytimes.com/article/coronavirus-body-symptoms.html,The United States; Wuhan; Oregon; Indiana; China,neutral,inevitable,elderly; young adults; people with underlying health issues; patients in China,,passed away,poverty; racism; healthcare access; elder neglect; long COVID,absent,"The article suggests that deaths are largely due to the virus itself and underlying health conditions, implying a sense of inevitability rather than assigning blame.","The article treats death as a statistic, focusing on percentages and case studies."
,The New York Times · The New York Times,Trump Signs Historic $2 Trillion Coronavirus Relief Bill,https://www.nytimes.com/video/us/politics/100000007059089/trump-coronavirus-stimulus.html,Indiana; America,hopeful,political failure,families; workers; businesses; small businesses; big businesses,strong; keep our country strong,,COVID-19 deaths; healthcare access; racial minorities; elderly; working-class; disabled; long COVID; workplace safety,absent,The article does not assign responsibility for COVID deaths and suggests the relief bill is a necessary response to the crisis.,"The article treats the relief bill as a political achievement and focuses on economic aspects, with no mention of death or human cost."
"Mar 16, 2020",The New York Times,White House Takes New Line After Dire Report on Death Toll,https://www.nytimes.com/2020/03/16/us/coronavirus-fatality-rate-white-house.html,The United States; Indiana; United States,tragic,preventable,Americans; the most vulnerable,fight; disaster,curb the epidemic; drive down transmission,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests responsibility lies with both government and individuals to take action to prevent deaths.,The article treats death as a statistic and a political talking point.
"Mar 18, 2020",The New York Times,"Coronavirus Ravages 7 Members of a Single Family, Killing 4",https://www.nytimes.com/2020/03/18/nyregion/new-jersey-family-coronavirus.html,Indiana; New Jersey,tragic,personal tragedy,elderly; family,,unspeakable grief,healthcare access; systemic factors; government response; racial minorities; working-class; long COVID,communal,"The article does not assign blame or agency, suggesting the deaths were unavoidable.",The article treats death as a personal and familial tragedy rather than a statistic or political talking point.
,The New York Times · The New York Times,"Video: Fear, Humor, Defiance: How the World Is Reacting to ...",https://www.nytimes.com/video/world/100000007027897/coronavirus-global-pandemic.html,Northern Ireland; Japan; Oregon; China; Iran; Australia; Italy; Indiana,neutral,inevitable,hospital staff; firefighter; quarantined neighbors; theater group,war; fight; disaster,moments of emptiness; little happens,elderly; racial minorities; working-class; disabled; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,communal,"The article does not assign blame or agency, suggesting the deaths were unavoidable.","The article treats death as part of a shared global experience, focusing on cultural reactions rather than statistics."
"Mar 27, 2020",The New York Times,"A Heart Attack? No, It Was the Coronavirus",https://www.nytimes.com/2020/03/27/health/coronavirus-cardiac-heart-attacks.html,Brooklyn; Oregon; The United States; Indiana,neutral,preventable,patients,culprit,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests that the coronavirus is responsible for the misdiagnosis, but does not assign blame to any specific entity or system.","The article treats the incident as a medical case study, focusing on the clinical aspects rather than the human impact."
